CommitmentYear,USD_Disbursement_Defl,USD_Commitment_Defl,aid_debt_ratio
2012,178593.239749,226655.385822997,0.787950566894843
2013,199651.748203,245490.305797013,0.813277524563781
2014,192953.142593,250095.818794002,0.771516867108965
2015,203638.203446,298442.833701002,0.682335712071469
2016,204959.19733,292981.310118997,0.699564068597938
2017,212453.19697,306283.997629001,0.693647721117126
2018,197203.141903,323262.985146008,0.610039351749257
2019,268473.056907,340247.275431996,0.789052775121071
2020,310171.423355,408449.465166994,0.759387512548675
2021,287762.033109,376498.256033009,0.764311729199009
2022,340324.233159,434271.041127024,0.78366780404189
