SectorName,mean_percent_disbursed
VII. Action Relating to Debt,0.999702201627222
VI.1. General Budget Support,0.984559284096003
Refugees in Donor Countries,0.927869460478136
IX. Unallocated / Unspecified,0.918814097276558
VI.3. Other Commodity Assistance,0.892814474797851
I.2.c. Non-communicable diseases (NCDs),0.871220808824076
Administrative Costs of Donors,0.864731117338064
VIII.1. Emergency Response,0.821870121476043
VI.2. Development Food Assistance,0.815747888111377
I.1.d. Post-Secondary Education,0.812152016112367
II.4. Banking & Financial Services,0.806014810713739
I.3. Population Policies/Programmes & Reproductive Health,0.789533580538793
I.2.b. Basic Health,0.772555070544782
"I.5.b. Conflict, Peace & Security",0.747624167326015
III.2.b. Mineral Resources & Mining,0.742263481739765
VIII.2. Reconstruction Relief & Rehabilitation,0.741837171152091
I.5.a. Government & Civil Society-general,0.735493426483211
II.3.e. Nuclear energy plants,0.730927723932267
III.3.a. Trade Policies & Regulations,0.720023108670401
II.5. Business & Other Services,0.708979383843906
"II.3.c. Energy generation, non-renewable sources",0.703226826685761
II.3.a. Energy Policy,0.702907510125843
IV.2. Other Multisector,0.694858096298641
IV.1. General Environment Protection,0.678324937698597
"I.2.a. Health, General",0.677525528149507
I.1.b. Basic Education,0.66048094100081
"II.3.b. Energy generation, renewable sources",0.636743162997326
II.2. Communications,0.636472228539354
III.1.c. Fishing,0.633042344606652
III.2.a. Industry,0.622024526983788
"I.1.a. Education, Level Unspecified",0.612474659658784
I.6. Other Social Infrastructure & Services,0.60875055591084
III.3.b. Tourism,0.602576758208563
III.1.a. Agriculture,0.589681963166001
I.1.c. Secondary Education,0.580670079523967
III.2.c. Construction,0.554568258188145
I.4. Water Supply & Sanitation,0.521168526615253
II.1. Transport & Storage,0.513440024704462
VIII.3. Disaster Prevention & Preparedness,0.502575688905617
III.1.b. Forestry,0.476792106161301
II.3.f. Energy distribution,0.426301516356934
II.3.d. Hybrid energy plants,0.158125328742049
